tile_id,slide,cohort,diet,batch,split,band,score,score_pct,n_scored_cells,x,y,size,tissue_fraction,dup_of,order
R25-264-11_x021504_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,1.6904,41.1,1,21504,11264,512,1.0,,193
R26-122-23_HE_91_x027136_y013312,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,5.3264,51.55,18,27136,13312,512,1.0,,194
R25-264-11_x037376_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,high,7.2959,96.32,9,37376,10752,512,1.0,,195
R25-264-1_x018432_y022016,R25-264-1,MASH,unknown,2025-08-25HE,train,mid,1.3242,66.67,2,18432,22016,512,1.0,,196
R25-264-13_x018944_y019456__r2,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,-1.214,12.58,1,18944,19456,512,1.0,R25-264-13_x018944_y019456,197
R25-264-32_x014336_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,mid,2.6299,69.29,3,14336,19456,512,1.0,,198
R25-264-31_x004096_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,3.3337,71.9,3,4096,15872,512,1.0,,199
R25-264-34_x023552_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,low,-0.3784,16.87,1,23552,10240,512,1.0,,200
R25-264-1_x008192_y023040,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,2.2419,80.89,1,8192,23040,512,1.0,,201
R26-122-10_HE_79_x025088_y008192,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,5.6641,79.59,23,25088,8192,512,1.0,,202
R25-264-37_x030208_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,6.2377,94.27,9,30208,9216,512,1.0,,203
R26-122-2_HE_71_x003072_y011776,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.3363,93.59,33,3072,11776,512,1.0,,204
R26-122-10_HE_79_x012288_y008704,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.3173,95.24,18,12288,8704,512,1.0,,205
R25-264-37_x026624_y008704,R25-264-37,MASH,unknown,2025-08-25HE,train,high,5.7621,91.67,8,26624,8704,512,1.0,,206
R25-264-11_x016384_y011776,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,0.4697,25.77,1,16384,11776,512,1.0,,207
R25-264-31_x032256_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,mid,2.267,51.63,1,32256,16896,512,1.0,,208
R25-264-34_x016896_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,-0.7078,15.06,2,16896,10752,512,1.0,,209
R25-264-37_x021504_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,0.5442,11.98,2,21504,9216,512,1.0,,210
R26-122-36_HE_95_x027648_y013824,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,5.1728,66.55,31,27648,13824,512,1.0,,211
R26-122-10_HE_79_x017920_y008704,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,2.105,5.44,11,17920,8704,512,1.0,,212
R26-122-23_HE_91_x011264_y014848,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,high,9.5503,99.66,28,11264,14848,512,1.0,,213
R26-122-17_HE_101_x007168_y018944,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,4.3056,24.28,28,7168,18944,512,0.8806,,214
R25-264-37_x013312_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.6088,79.69,13,13312,8192,512,1.0,,215
R25-264-32_x026112_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,3.4927,85.04,1,26112,19968,512,1.0,,216
R25-264-13_x025600_y019456__r2,R25-264-13,MASH,unknown,2025-08-25HE,train,mid,0.8096,39.62,1,25600,19456,512,1.0,R25-264-13_x025600_y019456,217
R25-264-32_x033280_y019968__r2,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,-1.2292,15.75,1,33280,19968,512,1.0,R25-264-32_x033280_y019968,218
R25-264-34_x034304_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,high,5.0909,98.19,4,34304,10752,512,1.0,,219
R26-122-36_HE_95_x019456_y014336,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,9.145,99.27,9,19456,14336,512,1.0,,220
R25-264-34_x010240_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,upper,3.4537,89.16,4,10240,9728,512,1.0,,221
R25-264-12_x031744_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,high,4.4504,93.75,2,31744,14848,512,1.0,,222
R26-122-36_HE_95_x024064_y011776,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,low,2.5472,5.09,21,24064,11776,512,1.0,,223
R25-264-32_x027136_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,27136,19456,512,1.0,,224
R25-264-11_x005632_y011776,R25-264-11,MASH,unknown,2025-08-25HE,train,mid,3.1274,67.48,3,5632,11776,512,1.0,,225
R26-122-10_HE_79_x021504_y009216,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,4.3495,55.1,18,21504,9216,512,0.9605,,226
R26-122-2_HE_71_x016384_y011776,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,low,3.7316,17.44,24,16384,11776,512,1.0,,227
R25-264-11_x021504_y010240__r2,R25-264-11,MASH,unknown,2025-08-25HE,train,high,6.3964,95.09,2,21504,10240,512,0.9082,R25-264-11_x021504_y010240,228
R26-122-17_HE_101_x013312_y018432,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,6.4202,83.33,28,13312,18432,512,1.0,,229
R25-264-31_x012800_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,-0.3004,12.42,1,12800,15872,512,1.0,,230
R25-264-37_x018432_y008704,R25-264-37,MASH,unknown,2025-08-25HE,train,high,6.6575,96.88,4,18432,8704,512,1.0,,231
R25-264-32_x022528_y018944,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,22528,18944,512,1.0,,232
R25-264-11_x036352_y010240,R25-264-11,MASH,unknown,2025-08-25HE,train,high,5.858,93.25,2,36352,10240,512,1.0,,233
R25-264-32_x023552_y019456__r2,R25-264-32,MASH,unknown,2025-08-25HE,test,high,5.7022,96.06,3,23552,19456,512,1.0,R25-264-32_x023552_y019456,234
R26-122-17_HE_101_x024064_y018432,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,5.6835,64.49,22,24064,18432,512,1.0,,235
R25-264-1_x011776_y021504,R25-264-1,MASH,unknown,2025-08-25HE,train,low,-3.0992,7.72,2,11776,21504,512,1.0,,236
R25-264-1_x032256_y022528__r2,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,2.9069,89.43,7,32256,22528,512,1.0,R25-264-1_x032256_y022528,237
R25-264-12_x027136_y014336__r2,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,27136,14336,512,1.0,R25-264-12_x027136_y014336,238
R25-264-34_x014848_y010752__r2,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,0.5479,31.93,2,14848,10752,512,1.0,R25-264-34_x014848_y010752,239
R25-264-32_x017920_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,2.368,66.14,3,17920,19968,512,1.0,,240
R25-264-11_x009728_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,,0.0,0,9728,10752,512,1.0,,241
R25-264-1_x016384_y020480,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,0.0783,43.5,2,16384,20480,512,1.0,,242
R25-264-11_x039424_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,4.2217,79.75,3,39424,11264,512,1.0,,243
R25-264-34_x037376_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,mid,1.4627,53.61,2,37376,10752,512,1.0,,244
R25-264-37_x020480_y008704,R25-264-37,MASH,unknown,2025-08-25HE,train,mid,1.9047,30.73,3,20480,8704,512,1.0,,245
R26-122-17_HE_101_x009728_y016896,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,high,9.4014,98.55,14,9728,16896,512,1.0,,246
R25-264-37_x019456_y008192__r2,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,0.7303,14.58,2,19456,8192,512,1.0,R25-264-37_x019456_y008192,247
R26-122-17_HE_101_x023040_y018432,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,6.4393,83.7,21,23040,18432,512,1.0,,248
R25-264-1_x019968_y020480,R25-264-1,MASH,unknown,2025-08-25HE,train,mid,0.3533,50.81,3,19968,20480,512,1.0,,249
R26-122-10_HE_79_x014336_y009728,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,5.3836,75.17,17,14336,9728,512,1.0,,250
R26-122-23_HE_91_x010752_y013824,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,high,9.0833,97.59,21,10752,13824,512,1.0,,251
R25-264-37_x015360_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,low,0.2607,8.33,1,15360,9216,512,1.0,,252
R25-264-37_x025600_y008704,R25-264-37,MASH,unknown,2025-08-25HE,train,high,8.7124,99.48,4,25600,8704,512,1.0,,253
R25-264-1_x028672_y022016,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,2.3923,83.33,4,28672,22016,512,1.0,,254
R25-264-12_x045568_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,upper,2.2609,81.25,1,45568,14336,512,1.0,,255
R25-264-32_x015872_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,low,-0.7206,25.2,1,15872,19968,512,1.0,,256
R25-264-37_x032768_y007680__r2,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.8418,82.29,5,32768,7680,512,1.0,R25-264-37_x032768_y007680,257
R26-122-2_HE_71_x012288_y011776,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.2259,92.53,30,12288,11776,512,1.0,,258
R26-122-2_HE_71_x011264_y010752,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,4.849,46.26,33,11264,10752,512,1.0,,259
R25-264-11_x019968_y010752__r2,R25-264-11,MASH,unknown,2025-08-25HE,train,high,7.3118,96.93,6,19968,10752,512,1.0,R25-264-11_x019968_y010752,260
R25-264-1_x029184_y020480,R25-264-1,MASH,unknown,2025-08-25HE,train,high,7.4757,100.0,2,29184,20480,512,1.0,,261
R25-264-34_x038400_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,low,0.3256,25.9,1,38400,10240,512,1.0,,262
R26-122-2_HE_71_x015872_y010240,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,low,3.9874,23.84,25,15872,10240,512,1.0,,263
R25-264-37_x035840_y007168__r2,R25-264-37,MASH,unknown,2025-08-25HE,train,low,1.5823,24.48,6,35840,7168,512,1.0,R25-264-37_x035840_y007168,264
R25-264-33_x022016_y019456__r2,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.1335,90.74,2,22016,19456,512,1.0,R25-264-33_x022016_y019456,265
R26-122-36_HE_95_x009216_y014336,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,high,6.7821,91.27,24,9216,14336,512,1.0,,266
R25-264-13_x003072_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,3.0859,79.87,5,3072,18944,512,1.0,,267
R26-122-23_HE_91_x028160_y014336__r2,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,5.9807,67.7,24,28160,14336,512,1.0,R26-122-23_HE_91_x028160_y014336,268
R25-264-11_x027648_y011264__r2,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,4.2418,81.6,1,27648,11264,512,1.0,R25-264-11_x027648_y011264,269
R26-122-17_HE_101_x015872_y019968,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,high,9.4831,98.91,15,15872,19968,512,1.0,,270
R25-264-33_x029696_y017920__r2,R25-264-33,MASH,unknown,2025-08-25HE,train,high,7.0689,98.15,4,29696,17920,512,1.0,R25-264-33_x029696_y017920,271
R25-264-13_x048640_y018432__r2,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,0.1877,30.19,2,48640,18432,512,1.0,R25-264-13_x048640_y018432,272
R25-264-34_x027648_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,high,3.9511,92.77,6,27648,10240,512,1.0,,273
R25-264-33_x011776_y019968,R25-264-33,MASH,unknown,2025-08-25HE,train,low,0.9195,16.67,3,11776,19968,512,1.0,,274
R25-264-34_x033280_y010240__r2,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,3.0282,84.34,5,33280,10240,512,1.0,R25-264-34_x033280_y010240,275
R26-122-23_HE_91_x029184_y015360,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,6.3885,75.6,21,29184,15360,512,1.0,,276
R25-264-34_x029696_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,high,4.3743,96.39,3,29696,9728,512,1.0,,277
R25-264-12_x024064_y014336__r2,R25-264-12,MASH,unknown,2025-08-25HE,test,low,,0.0,0,24064,14336,512,1.0,R25-264-12_x024064_y014336,278
R25-264-37_x031232_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,mid,3.3223,63.02,6,31232,9216,512,1.0,,279
R25-264-11_x023552_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,4.8025,87.73,3,23552,11264,512,0.8209,,280
R26-122-2_HE_71_x020480_y011264,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,5.8891,74.38,34,20480,11264,512,1.0,,281
R25-264-33_x010752_y018432,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,3.0156,62.35,4,10752,18432,512,1.0,,282
R25-264-12_x025088_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,upper,1.9427,76.79,2,25088,14848,512,1.0,,283
R25-264-13_x046080_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,mid,1.0471,47.17,3,46080,18432,512,1.0,,284
R25-264-1_x015360_y021504,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,1.9167,74.8,6,15360,21504,512,1.0,,285
R25-264-31_x005632_y015872__r2,R25-264-31,MASH,unknown,2025-08-25HE,test,mid,1.2252,30.72,3,5632,15872,512,1.0,R25-264-31_x005632_y015872,286
R25-264-31_x015360_y016384__r2,R25-264-31,MASH,unknown,2025-08-25HE,test,mid,2.2871,52.29,1,15360,16384,512,1.0,R25-264-31_x015360_y016384,287
R25-264-34_x026624_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,low,-1.757,8.43,1,26624,9728,512,1.0,,288
R26-122-23_HE_91_x016384_y013824__r2,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.9189,85.22,19,16384,13824,512,1.0,R26-122-23_HE_91_x016384_y013824,289
R25-264-34_x032256_y010752__r2,R25-264-34,MASH,unknown,2025-08-25HE,train,high,3.5783,90.96,2,32256,10752,512,1.0,R25-264-34_x032256_y010752,290
R25-264-1_x008192_y020992,R25-264-1,MASH,unknown,2025-08-25HE,train,mid,-0.1275,39.02,3,8192,20992,512,1.0,,291
R26-122-23_HE_91_x014848_y014848,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.3132,73.88,25,14848,14848,512,0.9807,,292
R25-264-32_x034304_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,high,4.1677,92.13,4,34304,19456,512,1.0,,293
R25-264-13_x029696_y018944__r2,R25-264-13,MASH,unknown,2025-08-25HE,train,low,-0.632,18.87,3,29696,18944,512,1.0,R25-264-13_x029696_y018944,294
R25-264-33_x009216_y018432__r2,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.3757,91.98,6,9216,18432,512,1.0,R25-264-33_x009216_y018432,295
R26-122-23_HE_91_x010752_y015872__r2,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,low,3.612,11.68,19,10752,15872,512,1.0,R26-122-23_HE_91_x010752_y015872,296
R25-264-13_x020480_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,high,4.7344,96.86,1,20480,18432,512,1.0,,297
R25-264-37_x015360_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,high,6.8748,97.4,7,15360,8192,512,1.0,,298
R25-264-34_x035328_y010240__r2,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,4.0921,93.98,1,35328,10240,512,1.0,R25-264-34_x035328_y010240,299
R25-264-31_x010240_y015872__r2,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,3.2981,70.59,2,10240,15872,512,1.0,R25-264-31_x010240_y015872,300
